ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,2192.33,0,false,mickeymouse,Fun!23
2,Donald,Duck,2170.75,0,false,donaldduck,Fun!23
3,Minnie,Mouse,1005.25,0,false,minniemouse,Fun!23
4,Goofy,Disney,2565.93,0,false,goofydisney,Fun!23
5,Pluto,Disney,860.63,0,false,plutodisney,Fun!23
6,Chip,Disney,2355.51,0,false,chipdisney,Fun!23
7,Dale,Disney,1437.14,0,false,daledisney,Fun!23
8,Cinderella,Disney,3310.71,0,true,cinderelladisney,Fun!23
9,Ariel,Disney,1267.77,0,false,arieldisney,Fun!23
10,Jasmine,Disney,1656.65,0,false,jasminedisney,Fun!23
11,Aladdin,Disney,1682.66,0,true,aladdindisney,Fun!23
12,Simba,Disney,307.2,0,true,simbadisney,Fun!23
13,Mufassa,Disney,1499.44,0,true,mufassadisney,Fun!23
14,Aurora,Disney,1089.09,0,true,auroradisney,Fun!23
15,Peter,Pan,1715.3,0,true,peterpan,Fun!23
16,Woody,Disney,3247.41,0,false,woodydisney,Fun!23
17,Buzz,Lightyear,1506.78,0,true,buzzlightyear,Fun!23
18,Jafar,Aladdin,913.69,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,3399.18,0,false,urselamermaid,Fun!23
20,Beast,Disney,3417.09,0,false,beastdisney,Fun!23
21,Belle,Disney,2932.23,0,true,belledisney,Fun!23
22,Cruella,De Vil,2297.02,0,false,cruellade vil,Fun!23
23,Scar,Lion,2099.98,0,false,scarlion,Fun!23
24,Simba,King,1389.84,0,false,simbaking,Fun!23
25,Gaston,Disney,1063.6,0,true,gastondisney,Fun!23
26,Shere,Khan,3349.22,0,false,sherekhan,Fun!23
27,Captaiin,Hook,2764.46,0,false,captaiinhook,Fun!23
28,Kaa,Disney,1903.19,0,true,kaadisney,Fun!23
29,Evil,Queen,2938.22,0,true,evilqueen,Fun!23
30,Pinocchio,Disney,3382.05,0,false,pinocchiodisney,Fun!23
31,Prince,Eric,1172.69,0,true,princeeric,Fun!23
32,Quasimodo,Disney,692.84,0,true,quasimododisney,Fun!23
33,Hercules,Disney,1238.33,0,true,herculesdisney,Fun!23
34,Mulan,Disney,2447.58,0,false,mulandisney,Fun!23
35,Lilo,Disney,690.58,0,false,lilodisney,Fun!23
36,Stitch,Disney,2945.27,0,false,stitchdisney,Fun!23
