ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
1,Mickey,Mouse,10/8/32,Customer,2723.59,0,true,mickeymouse,Fun!23
2,Donald,Duck,1/23/89,Customer,2453.52,0,true,donaldduck,Fun!23
3,Minnie,Mouse,11/22/22,Customer,2660.16,0,true,minniemouse,Fun!23
4,Goofy,Disney,8/3/27,Customer,3402.21,0,false,goofydisney,Fun!23
5,Pluto,Disney,5/5/45,Customer,1256.41,0,true,plutodisney,Fun!23
6,Chip,Disney,7/21/87,Customer,1367.52,0,true,chipdisney,Fun!23
7,Dale,Disney,6/16/02,Customer,2160.5,0,true,daledisney,Fun!23
8,Cinderella,Disney,11/7/73,Customer,3216.93,0,false,cinderelladisney,Fun!23
9,Ariel,Disney,4/30/07,Customer,1555.85,0,false,arieldisney,Fun!23
10,Jasmine,Disney,10/1/62,Customer,2213.63,0,false,jasminedisney,Fun!23
11,Aladdin,Disney,11/10/46,Customer,768.51,0,false,aladdindisney,Fun!23
12,Simba,Disney,9/30/80,Customer,1676.69,0,true,simbadisney,Fun!23
13,Mufassa,Disney,12/22/51,Customer,2994.4,0,false,mufassadisney,Fun!23
14,Aurora,Disney,1/18/63,Customer,2320.92,0,false,auroradisney,Fun!23
15,Peter,Pan,11/19/00,Customer,442.07,0,true,peterpan,Fun!23
16,Woody,Disney,5/27/96,Customer,2846.08,0,true,woodydisney,Fun!23
17,Buzz,Lightyear,1/13/23,Customer,793.87,0,false,buzzlightyear,Fun!23
18,Jafar,Aladdin,6/6/96,Customer,1605.03,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,7/7/00,Customer,368.98,0,true,urselamermaid,Fun!23
20,Beast,Disney,6/29/36,Customer,1573.26,0,true,beastdisney,Fun!23
21,Belle,Disney,12/29/34,Customer,2577.39,0,true,belledisney,Fun!23
22,Cruella,De Vil,9/14/96,Customer,1184.75,0,false,cruellade vil,Fun!23
23,Scar,Lion,9/20/18,Customer,2746.67,0,true,scarlion,Fun!23
24,Simba,King,11/24/40,Customer,3373.93,0,false,simbaking,Fun!23
25,Gaston,Disney,9/5/99,Customer,1473.96,0,true,gastondisney,Fun!23
26,Shere,Khan,7/6/90,Customer,3239.75,0,false,sherekhan,Fun!23
27,Captaiin,Hook,5/16/08,Customer,3270.58,0,true,captaiinhook,Fun!23
28,Kaa,Disney,7/5/39,Customer,3288.46,0,true,kaadisney,Fun!23
29,Evil,Queen,12/18/94,Customer,761.82,0,false,evilqueen,Fun!23
30,Pinocchio,Disney,3/17/18,Customer,198.33,0,true,pinocchiodisney,Fun!23
31,Prince,Eric,11/22/96,Customer,3224.13,0,true,princeeric,Fun!23
32,Quasimodo,Disney,7/24/87,Customer,642.31,0,true,quasimododisney,Fun!23
33,Hercules,Disney,3/3/79,Customer,3165.57,0,false,herculesdisney,Fun!23
34,Mulan,Disney,2/21/35,Customer,1514.96,0,false,mulandisney,Fun!23
35,Lilo,Disney,1/22/38,Customer,3412.27,0,false,lilodisney,Fun!23
36,Stitch,Disney,4/5/68,Customer,2772.05,0,false,stitchdisney,Fun!23
37,Daniel,Mejia,5/13/74,Employee,341.75,0,true,danielmejia,Fun!23
38,Ashley,Gilmore,11/26/99,Employee,3017.2,0,false,ashleygilmore,Fun!23
39,Diana,Valles,2/10/58,Employee,612.16,0,false,dianavalles,Fun!23
40,Isabella,Gaytan,7/1/62,Employee,3311.31,0,true,isabellagaytan,Fun!23
41,Diana,Garcia,8/7/57,Employee,224.92,0,false,dianagarcia,Fun!23
42,Alexis,Acosta,11/1/09,Employee,3226.31,0,false,alexisacosta,Fun!23
43,Akinyemi,Akinjayeju,1/20/53,Employee,532.92,0,false,akinyemiakinjayeju,Fun!23
44,Bryan,Arriaga,2/2/16,Employee,2092.4,0,false,bryanarriaga,Fun!23
45,Jessica,Barragan,12/7/38,Employee,3373.38,0,false,jessicabarragan,Fun!23
46,Ruben,CarmonaMedrano,3/26/37,Employee,2023.33,0,false,rubencarmonamedrano,Fun!23
47,Brandon,CartwrightLi,12/14/47,Employee,914.78,0,false,brandoncartwrightli,Fun!23
48,Jasmin,Cuevas,4/30/25,Employee,3340.37,0,true,jasmincuevas,Fun!23
49,Luis,Del Campo,11/2/72,Employee,1138.5,0,false,luisdel campo,Fun!23
50,Garab,Dorji,3/29/22,Employee,523.6,0,false,garabdorji,Fun!23
51,Marc,Driver,1/4/32,Employee,308.45,0,false,marcdriver,Fun!23
52,Jose,Espinoza Gonzalez,10/10/79,Employee,2678.67,0,false,joseespinoza gonzalez,Fun!23
53,Alondra,GonzalezAyala,1/8/19,Employee,326.42,0,false,alondragonzalezayala,Fun!23
54,Omar,Hoang,12/17/72,Employee,2052.35,0,false,omarhoang,Fun!23
55,Ian,Islas,11/27/20,Employee,2502.94,0,false,ianislas,Fun!23
